filename,label
external_galaxia_M33_DSS2_Red_0.fits,galaxia
external_galaxia_M33_DSS2_Blue_0.fits,galaxia
external_galaxia_NGC_891_DSS2_Red_0.fits,galaxia
external_galaxia_NGC_891_DSS2_Blue_0.fits,galaxia
external_galaxia_NGC_4565_DSS2_Red_0.fits,galaxia
external_galaxia_NGC_4565_DSS2_Blue_0.fits,galaxia
external_estrela_Arcturus_DSS2_Red_0.fits,estrela
external_estrela_Arcturus_DSS2_Blue_0.fits,estrela
external_estrela_Capella_DSS2_Red_0.fits,estrela
external_estrela_Capella_DSS2_Blue_0.fits,estrela
external_estrela_Altair_DSS2_Red_0.fits,estrela
external_estrela_Altair_DSS2_Blue_0.fits,estrela
external_nebulosa_M57_DSS2_Blue_0.fits,nebulosa
external_nebulosa_NGC_7000_DSS2_Red_0.fits,nebulosa
external_nebulosa_NGC_7000_DSS2_Blue_0.fits,nebulosa
external_aglomerado_M3_DSS2_Red_0.fits,aglomerado
external_aglomerado_M3_DSS2_Blue_0.fits,aglomerado
external_aglomerado_M5_DSS2_Red_0.fits,aglomerado
external_aglomerado_M5_DSS2_Blue_0.fits,aglomerado
external_aglomerado_M15_DSS2_Red_0.fits,aglomerado
external_aglomerado_M15_DSS2_Blue_0.fits,aglomerado
