external_evaluate_run_id,train_run_id,created_at,model_file,model_epoch,total_images,labeled_images,accuracy,correct,errors,class_accuracy,external_labels_file,external_report_file,external_confusion_matrix_file
external_evaluate_20260526_093829_9ae41a04,train_20260526_092834_a7911d86,2026-05-26 09:38:30,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.833333(5/6); nebulosa=0.000000(0/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260526_100618_2c58c09f,train_20260526_100239_364d4d4b,2026-05-26 10:06:18,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,28,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.833333(5/6); nebulosa=0.000000(0/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260526_115646_755f6152,train_20260526_102743_194ad6ed,2026-05-26 11:56:48,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,20,21,21,0.857143,18,3,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=1.000000(6/6); nebulosa=0.000000(0/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260526_153748_205429ec,train_20260526_150026_e7870f64,2026-05-26 15:37:51,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.833333(5/6); nebulosa=0.000000(0/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260527_113926_b34f29e9,train_20260527_085121_448e3459,2026-05-27 11:39:28,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,41,21,21,0.761905,16,5,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.500000(3/6); nebulosa=0.333333(1/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260527_161803_002871a4,train_20260527_155905_0612b48a,2026-05-27 16:18:04,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,11,21,21,0.761905,16,5,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.666667(4/6); nebulosa=0.000000(0/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260527_170153_55f1ce39,train_20260527_163858_a7c772fa,2026-05-27 17:01:55,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,21,21,0.904762,19,2,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.833333(5/6); nebulosa=0.666667(2/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260528_112708_76b64f44,train_20260528_110538_c209d69b,2026-05-28 11:27:10,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,43,21,21,0.904762,19,2,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.833333(5/6); nebulosa=0.666667(2/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260528_120257_d259f673,train_20260528_114121_f3cdc353,2026-05-28 12:02:58,C:\Workspace\Python\AstroMind\AstroMind\models\astronomy_classifier_best.pth,34,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.500000(3/6); nebulosa=0.666667(2/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260528_143329_7c835f25,train_20260528_141140_ef69acef,2026-05-28 14:33:30,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\AstroMindCNNV2_4_best.pth,34,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.500000(3/6); nebulosa=0.666667(2/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
external_evaluate_20260528_155357_4c1c3f4e,train_20260528_153202_6c79d450,2026-05-28 15:53:59,C:\Workspace\Python\AstroMind\AstroMind\models\checkpoints\AstroMindCNNV2_4_best.pth,34,21,21,0.809524,17,4,aglomerado=1.000000(6/6); estrela=1.000000(6/6); galaxia=0.500000(3/6); nebulosa=0.666667(2/3),C:\Workspace\Python\AstroMind\AstroMind\data\external\external_labels.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_evaluation_report.csv,C:\Workspace\Python\AstroMind\AstroMind\outputs\reports\external_confusion_matrix.csv
